

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
047.422  000.719  000.665: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/ale/plugin/ale.vim
048.382  000.908  000.908: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/YouCompleteMe/plugin/youcompleteme.vim
048.740  000.177  000.177: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/colorizer/autoload/colorizer.vim
049.010  000.573  000.396: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/colorizer/plugin/colorizer.vim
049.149  000.040  000.040: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-swagger-preview/plugin/vim-swagger-preview.vim
049.274  000.087  000.087: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-yaml-helper/plugin/vim-yaml-helper.vim
049.383  000.058  000.058: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/rust.vim/plugin/cargo.vim
049.419  000.024  000.024: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/rust.vim/plugin/rust.vim
049.668  000.070  000.070: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-test/autoload/test.vim
050.284  000.829  000.759: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-test/plugin/test.vim
051.500  001.164  001.164: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-dispatch/plugin/dispatch.vim
051.569  000.027  000.027: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vimux-jest-test/plugin/vimux-jest-test.vim
051.667  000.062  000.062: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-node-inspect/plugin/nodeinspect.vim
051.861  000.147  000.147: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-startuptime/plugin/startuptime.vim
052.268  000.364  000.364: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/quick-scope/plugin/quick_scope.vim
052.399  000.086  000.086: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-peekaboo/plugin/peekaboo.vim
052.521  000.083  000.083: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-startify/plugin/startify.vim
052.670  000.108  000.108: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-easy-align/plugin/easy_align.vim
052.748  000.013  000.013: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/goyo.vim/plugin/goyo.vim
052.811  000.028  000.028: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/limelight.vim/plugin/limelight.vim
052.904  000.050  000.050: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-gotofile/plugin/gotofile.vim
053.205  000.093  000.093: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-indent-guides/autoload/indent_guides.vim
053.432  000.486  000.393: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-indent-guides/plugin/indent_guides.vim
053.722  000.242  000.242: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/auto-pairs/plugin/auto-pairs.vim
053.959  000.185  000.185: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-matchit/plugin/matchit.vim
056.999  002.997  002.997: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdcommenter/plugin/NERD_commenter.vim
057.416  000.335  000.335: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-surround/plugin/surround.vim
057.614  000.120  000.120: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/vim-slash/plugin/slash.vim
058.011  000.099  000.099: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/autoload/nerdtree.vim
058.615  000.308  000.308: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/path.vim
058.881  000.072  000.072: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/menu_controller.vim
059.094  000.040  000.040: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/menu_item.vim
059.318  000.053  000.053: sourcing /home/dashie/.dotfiles-darwin/.dotfiles-vim/plugged/nerdtree/lib/nerdtree/key_map.vim
